sensor_id,start_year,end_year,Years,total_rows,non_null_nitrate,percentage,latitude,longitude
WQP0006,2024,2025,1,148610,148609,100.0,42.3025,-92.5904
WQP0007,2024,2025,1,148227,130304,87.91,42.3037,-92.5914
WQP0008,2024,2025,1,65754,64476,98.06,41.8516,-93.639
WQP0009,2024,2025,1,84588,56528,66.83,41.8349,-93.628
WQS0118,2024,2025,1,79958,79951,99.99,42.0845,-90.6327
WQP0003,2023,2025,2,220115,153618,69.79,41.358,-91.9932
WQP0004,2023,2025,2,224663,201199,89.56,41.6295,-90.7643
WQP0005,2023,2025,2,155811,155808,100.0,43.4666,-91.9603
WQS0115,2022,2025,3,313768,311789,99.37,41.0178,-92.417
WQS0091,2021,2025,4,276595,276035,99.8,43.4326,-91.5194
WQS0111,2021,2025,4,277302,271508,97.91,43.0406,-91.2059
WQS0113,2021,2025,4,394426,393098,99.66,43.2721,-91.7805
WQS0114,2021,2025,4,333130,332483,99.81,43.0228,-91.3431
WQS0104,2020,2025,5,223413,111550,49.93,42.2636,-95.0332
WQS0081,2018,2025,7,416973,360552,86.47,42.4319,-93.8062
WQS0083,2018,2025,7,479982,446522,93.03,42.7117,-92.581
WQS0084,2018,2025,7,447463,386176,86.3,42.6494,-92.4666
WQS0063,2017,2025,8,451931,437835,96.88,43.1115,-91.265
WQS0064,2017,2025,8,400609,317992,79.38,43.4212,-91.509
WQS0065,2017,2025,8,416402,294837,70.81,41.8106,-96.0488
WQS0066,2017,2025,8,445492,376889,84.6,41.8251,-96.0593
WQS0067,2017,2025,8,392913,368819,93.87,43.2146,-96.2954
WQS9901,2017,2025,8,17957,17715,98.65,41.9821,-91.7735
WQS9902,2017,2025,8,35177,15526,44.14,42.0818,-93.938
WQS0032,2016,2025,9,663596,632057,95.25,41.6874,-94.3711
WQS0033,2016,2025,9,651362,465021,71.39,40.7269,-91.9606
WQS0040,2016,2025,9,453640,430334,94.86,41.6418,-95.7826
WQS0043,2016,2025,9,519441,414435,79.78,42.5764,-96.3126
WQS0044,2016,2025,9,366700,294939,80.43,40.6944,-95.5623
WQS0046,2016,2025,9,647915,624915,96.45,41.537,-93.2588
WQS0047,2016,2025,9,593939,588242,99.04,41.601,-93.296
WQS0048,2016,2025,9,567389,552801,97.43,42.3178,-93.2514
WQS0050,2016,2025,9,598064,579105,96.83,41.2817,-91.7162
WQS0051,2016,2025,9,640571,615258,96.05,42.339,-93.1251
WQS0053,2016,2025,9,677260,663377,97.95,41.9545,-93.6393
WQS0054,2016,2025,9,601394,560307,93.17,41.9649,-93.6796
WQS0055,2016,2025,9,228995,224734,98.14,42.3829,-93.3911
WQS0056,2016,2025,9,219460,198844,90.61,42.3805,-93.388
WQS0024,2015,2025,10,761760,697591,91.58,42.3149,-93.1525
WQS0025,2015,2025,10,666100,633164,95.06,42.4674,-90.683
WQS0031,2015,2025,10,752876,745260,98.99,42.9104,-91.4707
WQS0023,2014,2025,11,783866,695381,88.71,41.7669,-90.535
WQS0088,2014,2025,11,305336,196934,64.5,42.6285,-92.5439
WQS0010,2013,2025,12,782497,638416,81.59,40.7531,-91.2756
WQS0001,2012,2025,13,1087298,1073166,98.7,41.6938,-91.5481
WQS0002,2012,2025,13,874118,816759,93.44,41.6765,-91.5983
WQS0005,2012,2025,13,855802,695002,81.21,41.4694,-91.7147
WQS0007,2012,2025,13,850736,732070,86.05,41.4098,-91.2904
WQS0116,2022,2024,2,89794,0,0.0,43.5003,-95.1057
WQS0117,2022,2024,2,80501,0,0.0,43.341,-95.1322
WQT0001,2022,2024,2,99171,11883,11.98,41.6938,-91.5489
WQP0001,2021,2024,3,150580,16726,11.11,41.6262,-93.3001
WQS0090,2021,2024,3,191041,184105,96.37,43.3114,-91.2368
WQS0112,2021,2024,3,161755,106998,66.15,42.1014,-92.168
WQS0101,2020,2024,4,262595,262511,99.97,42.0941,-92.1675
WQS0105,2020,2024,4,155018,0,0.0,41.964,-92.1442
WQS0109,2020,2024,4,220687,210016,95.16,41.6537,-91.604
WQS0079,2018,2024,6,169754,0,0.0,40.6019,-95.6452
WQS0082,2018,2024,6,379567,5422,1.43,41.9879,-94.377
WQS9903,2018,2024,6,6993,3280,46.9,41.4099,-91.2906
WQS0061,2017,2024,7,355502,306145,86.12,41.8305,-95.9315
WQS0071,2017,2024,7,461129,460894,99.95,42.1548,-92.0057
WQS0073,2017,2024,7,438945,340004,77.46,42.6515,-95.25
WQS0035,2016,2024,8,503993,439940,87.29,42.3846,-92.2545
WQS0038,2016,2024,8,632055,556363,88.02,42.0415,-93.654
WQS0106,2014,2024,10,174733,0,0.0,41.964,-92.1466
WQS0003,2012,2024,12,788778,759021,96.23,41.7183,-91.7403
