sensor_id,start_year,end_year,Years,total_rows,non_null_nitrate,percentage,latitude,longitude
WQS0004,2012,2015,3,75926,68901,90.75,41.7012,-91.8572
WQS0028,2015,2016,1,64036,63149,98.61,42.0818,-93.9383
WQS0029,2015,2016,1,29001,27472,94.73,42.08,-93.9363
WQS0017,2014,2016,2,144988,144332,99.55,43.1334,-91.8895
WQS0018,2014,2016,2,159788,159245,99.66,42.874,-91.3827
WQS0019,2014,2016,2,123401,98829,80.09,40.7828,-92.1979
WQS0041,2016,2017,1,103551,82712,79.88,41.9651,-95.9733
WQS0049,2016,2017,1,76249,50337,66.02,40.772,-92.0923
WQS0052,2016,2017,1,58580,57808,98.68,42.0198,-91.6661
WQS0030,2015,2017,2,188919,188231,99.64,42.4718,-91.3996
WQS0015,2014,2017,3,171188,170586,99.65,42.9501,-91.7538
WQS0009,2013,2017,4,251042,247749,98.69,42.9524,-91.6432
WQS0006,2012,2017,5,313061,303452,96.93,41.4238,-91.4787
WQS0062,2017,2018,1,97180,90781,93.42,42.7771,-95.53
WQS9953,2017,2018,1,4,4,100.0,-99.0,-99.0
WQS0042,2016,2018,2,169309,166905,98.58,42.157,-95.8098
WQS9998,2016,2018,2,3,2,66.67,-99.0,-99.0
WQS0026,2015,2018,3,283184,257226,90.83,42.4813,-90.6954
WQS0016,2014,2018,4,213798,211784,99.06,42.9472,-91.7951
WQS0021,2014,2018,4,306370,301253,98.33,41.7217,-91.4263
WQS0022,2014,2018,4,301168,297075,98.64,41.7483,-91.4338
WQS0089,2018,2019,1,20027,0,0.0,40.7393,-95.014
WQS0068,2017,2019,2,116563,290,0.25,40.88,-92.3333
WQS0034,2016,2019,3,235181,225012,95.68,41.0099,-92.119
WQS0036,2016,2019,3,195325,165037,84.49,40.6407,-93.8078
WQS0045,2016,2019,3,136589,100297,73.43,42.2392,-93.9953
WQS0027,2015,2019,4,333749,319886,95.85,42.2974,-92.0177
WQS0011,2014,2019,5,347142,323865,93.29,41.7305,-91.9071
SCN0001,2019,2020,1,158202,0,0.0,,
WQS0059,2017,2020,3,270592,127139,46.99,41.6808,-92.86
WQS0058,2016,2020,4,248406,201980,81.31,41.6823,-92.869
WQS0107,2020,2021,1,82051,77313,94.23,42.6288,-93.8448
WQS0108,2020,2021,1,46199,42127,91.19,42.9196,-94.0706
WW00001,2020,2021,1,75352,64342,85.39,,
WW00002,2020,2021,1,52690,49466,93.88,,
WQS0087,2018,2021,3,180397,0,0.0,41.1781,-91.1821
WQS0075,2017,2021,4,159693,110956,69.48,41.6456,-95.3128
WQS0037,2016,2021,5,284285,274867,96.69,41.5119,-94.9359
WQS9999,2015,2021,6,8683,778,8.96,41.6562,-91.5387
WQS0096,2021,2022,1,92465,0,0.0,41.7173,-93.5697
WQS0093,2020,2022,2,157550,0,0.0,41.6879,-93.7351
WQS0095,2020,2022,2,170517,0,0.0,41.643,-93.38
WQS0097,2020,2022,2,146356,0,0.0,41.6129,-93.5419
WQS0098,2020,2022,2,153581,0,0.0,41.5745,-93.649
WQS0099,2020,2022,2,172687,0,0.0,41.7761,-93.4319
WQS0100,2020,2022,2,154333,0,0.0,41.5868,-93.7035
WQS0069,2017,2022,5,338147,283470,83.83,42.179,-91.5008
WQS0070,2017,2022,5,337297,337211,99.97,42.2572,-92.2793
WQS0072,2017,2022,5,336868,295860,87.83,41.527,-91.9896
WQS0074,2017,2022,5,274711,237972,86.63,42.7152,-94.7963
WQS0076,2017,2022,5,259253,242889,93.69,41.6857,-91.6093
WQS0094,2017,2022,5,49615,1,0.0,41.6886,-93.4639
WQS0039,2016,2022,6,400003,344388,86.1,42.7246,-93.9472
WQS0013,2014,2022,8,464611,425608,91.61,43.0668,-92.5283
WQS0014,2014,2022,8,435879,418514,96.02,43.1342,-92.5675
WQP0002,2022,2023,1,18634,18629,99.97,41.6893,-91.5473
WQS0103,2020,2023,3,165827,137063,82.65,42.1014,-92.0663
WQS0092,2019,2023,4,219427,0,0.0,41.5952,-93.6182
WQS0080,2018,2023,5,449967,374043,83.13,41.4501,-94.4154
WQS9995,2018,2023,5,115,0,0.0,-99.0,-99.0
WQS9904,2017,2023,6,150,51,34.0,41.4693,-91.7147
WQS0012,2014,2023,9,599864,595624,99.29,43.2063,-92.7323
WQS0020,2014,2023,9,345174,330908,95.87,41.4363,-90.8979
WQS0102,2014,2023,9,246750,246363,99.84,42.0796,-92.1136
WQS0008,2013,2023,10,489809,439554,89.74,43.21,-92.7503
